"item_name","datetime","ducats_per_platinum","ducats","wa_price","ducats_per_platinum_wa","position_change_month","position_change_week","position_change_day","volume"
"Akbolto Prime Barrel","2021-08-29 00:00:00","5.62","45","7.71","5.84","-12","14","1","231"
"Akbolto Prime Blueprint","2021-08-29 00:00:00","3.0","15","4.34","3.46","-11","7","6","131"
"Akbolto Prime Link","2021-08-29 00:00:00","9.0","45","4.39","10.24","19","15","-6","185"
"Akbolto Prime Receiver","2021-08-29 00:00:00","5.0","100","19.78","5.06","-3","4","0","130"
"Akbolto Prime Set","2021-08-29 00:00:00","5.0","350","70.79","4.94","1","9","9","287"
"Akbronco Prime Blueprint","2021-08-29 00:00:00","5.0","15","3.6","4.17","-18","3","3","135"
"Akbronco Prime Link","2021-08-29 00:00:00","11.25","45","4.4","10.23","5","3","-2","174"
"Akbronco Prime Set","2021-08-29 00:00:00","4.0","60","15.48","3.88","13","-2","2","196"
"Akjagara Prime Barrel","2021-08-29 00:00:00","5.0","100","22.29","4.49","-36","7","6","114"
"Akjagara Prime Blueprint","2021-08-29 00:00:00","3.75","15","3.99","3.76","-14","-8","44","174"
"Akjagara Prime Link","2021-08-29 00:00:00","9.0","45","4.54","9.92","9","17","10","164"
"Akjagara Prime Receiver","2021-08-29 00:00:00","4.5","45","9.48","4.75","-15","8","0","173"
"Akjagara Prime Set","2021-08-29 00:00:00","4.38","350","79.45","4.41","8","4","0","282"
"Aklex Prime Blueprint","2021-08-29 00:00:00","4.5","45","9.48","4.75","20","6","3","335"
"Aklex Prime Link","2021-08-29 00:00:00","2.5","100","44.2","2.26","46","-1","-2","254"
"Aklex Prime Set","2021-08-29 00:00:00","2.23","145","61.67","2.35","34","16","-1","421"
"Aksomati Prime Barrel","2021-08-29 00:00:00","5.62","45","7.91","5.69","-39","4","-3","208"
"Aksomati Prime Blueprint","2021-08-29 00:00:00","5.0","15","2.92","5.14","-12","-47","2","199"
"Aksomati Prime Link","2021-08-29 00:00:00","6.25","100","17.12","5.84","-32","-4","-6","205"
"Aksomati Prime Receiver","2021-08-29 00:00:00","3.75","15","4.46","3.37","6","5","9","151"
"Aksomati Prime Set","2021-08-29 00:00:00","5.22","235","44.83","5.24","46","11","1","317"
"Akstiletto Prime Barrel","2021-08-29 00:00:00","1.25","25","19.68","1.27","-5","0","-1","178"
"Akstiletto Prime Blueprint","2021-08-29 00:00:00","6.67","100","15.48","6.46","-10","32","3","137"
"Akstiletto Prime Link","2021-08-29 00:00:00","4.5","45","9.72","4.63","26","27","16","148"
"Akstiletto Prime Receiver","2021-08-29 00:00:00","1.8","45","26.29","1.71","-3","12","-6","154"
"Akstiletto Prime Set","2021-08-29 00:00:00","1.97","285","146.04","1.9500000000000002","5","0","-5","339"
"Akvasto Prime Blueprint","2021-08-29 00:00:00","1.33","100","77.38","1.29","-18","6","1","136"
"Akvasto Prime Link","2021-08-29 00:00:00","2.25","45","19.77","2.2800000000000002","15","4","1","151"
"Akvasto Prime Set","2021-08-29 00:00:00","1.32","145","115.57","1.25","-28","-9","-1","221"
"Ankyros Prime Blade","2021-08-29 00:00:00","6.5","65","10.24","6.34","254","44","4","192"
"Ankyros Prime Blueprint","2021-08-29 00:00:00","1.67","15","8.77","1.71","48","2","11","133"
"Ankyros Prime Gauntlet","2021-08-29 00:00:00","1.3599999999999999","15","11.55","1.3","52","12","8","128"
"Ankyros Prime Set","2021-08-29 00:00:00","1.75","175","117.1","1.49","35","10","7","214"
"Ash Prime Blueprint","2021-08-29 00:00:00","1.12","45","40.7","1.11","-8","0","1","228"
"Ash Prime Chassis","2021-08-29 00:00:00","0.65","15","23.87","0.63","-3","-3","0","233"
"Ash Prime Neuroptics","2021-08-29 00:00:00","4.5","45","11.49","3.92","5","12","4","519"
"Ash Prime Set","2021-08-29 00:00:00","0.81","170","210.4","0.81","-4","1","0","971"
"Ash Prime Systems","2021-08-29 00:00:00","0.54","65","122.97","0.53","0","0","0","153"
"Astilla Prime Barrel","2021-08-29 00:00:00","10.0","100","9.79","10.22","38","11","-7","152"
"Astilla Prime Blueprint","2021-08-29 00:00:00","6.43","45","6.91","6.52","21","-19","1","215"
"Astilla Prime Receiver","2021-08-29 00:00:00","0.8300000000000001","15","17.6","0.85","-2","-3","-1","174"
"Astilla Prime Set","2021-08-29 00:00:00","4.1","205","51.81","3.96","49","1","-3","193"
"Astilla Prime Stock","2021-08-29 00:00:00","5.62","45","7.88","5.71","45","3","-3","341"
"Atlas Prime Blueprint","2021-08-29 00:00:00","3.75","15","4.51","3.33","-50","-65","-1","403"
"Atlas Prime Chassis","2021-08-29 00:00:00","9.0","45","5.09","8.83","-12","-6","1","295"
"Atlas Prime Neuroptics","2021-08-29 00:00:00","5.0","100","23.62","4.23","-34","-27","-35","169"
"Atlas Prime Set","2021-08-29 00:00:00","5.12","205","50.27","4.08","-34","-71","-2","714"
"Atlas Prime Systems","2021-08-29 00:00:00","9.0","45","4.67","9.63","-4","-6","-3","371"
"Ballistica Prime Blueprint","2021-08-29 00:00:00","5.41","100","18.2","5.49","-11","3","-1","94"
"Ballistica Prime Lower Limb","2021-08-29 00:00:00","1.5","15","9.4","1.6","-17","-10","-5","97"
"Ballistica Prime Receiver","2021-08-29 00:00:00","6.43","45","7.68","5.86","-9","14","1","183"
"Ballistica Prime Set","2021-08-29 00:00:00","3.8200000000000003","250","66.28","3.77","-3","9","10","422"
"Ballistica Prime String","2021-08-29 00:00:00","4.5","45","9.69","4.64","-2","5","0","112"
"Ballistica Prime Upper Limb","2021-08-29 00:00:00","5.0","45","8.87","5.07","-16","4","7","124"
"Banshee Prime Blueprint","2021-08-29 00:00:00","5.62","45","8.29","5.43","-20","-8","3","476"
"Banshee Prime Chassis","2021-08-29 00:00:00","3.33","100","31.51","3.17","-21","11","1","172"
"Banshee Prime Neuroptics","2021-08-29 00:00:00","3.0","15","5.48","2.74","35","-9","41","211"
"Banshee Prime Set","2021-08-29 00:00:00","2.65","225","88.94","2.5300000000000002","-7","3","-2","883"
"Banshee Prime Systems","2021-08-29 00:00:00","1.71","65","37.63","1.73","46","49","-8","154"
"Baza Prime Barrel","2021-08-29 00:00:00","11.25","45","4.06","11.07","9","3","6","296"
"Baza Prime Blueprint","2021-08-29 00:00:00","10.0","100","11.16","8.96","-26","-21","3","359"
"Baza Prime Receiver","2021-08-29 00:00:00","3.0","15","4.43","3.38","-27","18","-5","175"
"Baza Prime Set","2021-08-29 00:00:00","8.67","260","32.15","8.09","34","3","2","384"
"Baza Prime Stock","2021-08-29 00:00:00","5.5600000000000005","100","17.7","5.65","16","13","-2","190"
"Bo Prime Blueprint","2021-08-29 00:00:00","1.0","15","16.73","0.9","-11","-1","0","176"
"Bo Prime Handle","2021-08-29 00:00:00","1.5","45","29.02","1.55","-4","6","3","157"
"Bo Prime Ornament","2021-08-29 00:00:00","0.15","15","94.8","0.16","0","0","0","122"
"Bo Prime Set","2021-08-29 00:00:00","0.33","90","273.86","0.33","0","0","0","207"
"Boar Prime Barrel","2021-08-29 00:00:00","2.25","45","19.6","2.3","0","6","2","169"
"Boar Prime Blueprint","2021-08-29 00:00:00","1.0","15","15.6","0.96","-11","-4","-1","131"
"Boar Prime Receiver","2021-08-29 00:00:00","1.5","15","10.31","1.45","-1","-1","-1","253"
"Boar Prime Set","2021-08-29 00:00:00","1.52","175","114.47","1.53","-2","4","0","289"
"Boar Prime Stock","2021-08-29 00:00:00","2.0","100","51.28","1.9500000000000002","-4","8","-5","101"
"Boltor Prime Barrel","2021-08-29 00:00:00","1.5","15","10.85","1.38","57","42","-4","168"
"Boltor Prime Blueprint","2021-08-29 00:00:00","6.67","100","14.19","7.05","179","13","3","170"
"Boltor Prime Receiver","2021-08-29 00:00:00","9.0","45","5.52","8.15","167","41","23","210"
"Boltor Prime Set","2021-08-29 00:00:00","2.69","175","78.92","2.22","38","24","15","328"
