"Relic_Name","C1","C2","C3","U1","U2","Rare","Class","Type","Refinement","C1_Raw","C2_Raw","C3_Raw","U1_Raw","U2_Raw","Rare_Raw","C1_Odds","C2_Odds","C3_Odds","U1_Odds","U2_Odds","Rare_Odds"
"Axi A1 Relic (Intact) ","Trinity Prime Systems (25.33%)","Fragor Prime Head (25.33%)","Braton Prime Stock (25.33%)","Akstiletto Prime Barrel (11.0%)","Dual Kamas Prime Handle (11.0%)","Nikana Prime (2.0%)","Axi","A1","Intact","Trinity Prime Systems","Fragor Prime Head","Braton Prime Stock","Akstiletto Prime Barrel","Dual Kamas Prime Handle","Nikana Prime","25.33","25.33","25.33","11.0","11.0","2.0"
"Axi A1 Relic (Exceptional) ","Trinity Prime Systems (23.33%)","Fragor Prime Head (23.33%)","Braton Prime Stock (23.33%)","Akstiletto Prime Barrel (13.0%)","Dual Kamas Prime Handle (13.0%)","Nikana Prime (4.0%)","Axi","A1","Exceptional","Trinity Prime Systems","Fragor Prime Head","Braton Prime Stock","Akstiletto Prime Barrel","Dual Kamas Prime Handle","Nikana Prime","23.33","23.33","23.33","13.0","13.0","4.0"
"Axi A1 Relic (Flawless) ","Trinity Prime Systems (20.0%)","Fragor Prime Head (20.0%)","Braton Prime Stock (20.0%)","Akstiletto Prime Barrel (17.0%)","Dual Kamas Prime Handle (17.0%)","Nikana Prime (6.0%)","Axi","A1","Flawless","Trinity Prime Systems","Fragor Prime Head","Braton Prime Stock","Akstiletto Prime Barrel","Dual Kamas Prime Handle","Nikana Prime","20.0","20.0","20.0","17.0","17.0","6.0"
"Axi A1 Relic (Radiant) ","Akstiletto Prime Barrel (20.0%)","Dual Kamas Prime Handle (20.0%)","Trinity Prime Systems (16.67%)","Fragor Prime Head (16.67%)","Braton Prime Stock (16.67%)","Nikana Prime (10.0%)","Axi","A1","Radiant","Akstiletto Prime Barrel","Dual Kamas Prime Handle","Trinity Prime Systems","Fragor Prime Head","Braton Prime Stock","Nikana Prime","20.0","20.0","16.67","16.67","16.67","10.0"
"Axi A10 Relic (Intact) ","Akbronco Prime (25.33%)","Forma (25.33%)","Stradavar Prime Receiver (25.33%)","Wukong Prime Chassis (11.0%)","Paris Prime Grip (11.0%)","Aksomati Prime Link (2.0%)","Axi","A10","Intact","Akbronco Prime","Forma","Stradavar Prime Receiver","Wukong Prime Chassis","Paris Prime Grip","Aksomati Prime Link","25.33","25.33","25.33","11.0","11.0","2.0"
"Axi A10 Relic (Exceptional) ","Akbronco Prime (23.33%)","Forma (23.33%)","Stradavar Prime Receiver (23.33%)","Wukong Prime Chassis (13.0%)","Paris Prime Grip (13.0%)","Aksomati Prime Link (4.0%)","Axi","A10","Exceptional","Akbronco Prime","Forma","Stradavar Prime Receiver","Wukong Prime Chassis","Paris Prime Grip","Aksomati Prime Link","23.33","23.33","23.33","13.0","13.0","4.0"
"Axi A10 Relic (Flawless) ","Akbronco Prime (20.0%)","Forma (20.0%)","Stradavar Prime Receiver (20.0%)","Wukong Prime Chassis (17.0%)","Paris Prime Grip (17.0%)","Aksomati Prime Link (6.0%)","Axi","A10","Flawless","Akbronco Prime","Forma","Stradavar Prime Receiver","Wukong Prime Chassis","Paris Prime Grip","Aksomati Prime Link","20.0","20.0","20.0","17.0","17.0","6.0"
"Axi A10 Relic (Radiant) ","Wukong Prime Chassis (20.0%)","Paris Prime Grip (20.0%)","Akbronco Prime (16.67%)","Forma (16.67%)","Stradavar Prime Receiver (16.67%)","Aksomati Prime Link (10.0%)","Axi","A10","Radiant","Wukong Prime Chassis","Paris Prime Grip","Akbronco Prime","Forma","Stradavar Prime Receiver","Aksomati Prime Link","20.0","20.0","16.67","16.67","16.67","10.0"
"Axi A11 Relic (Intact) ","Zhuge Prime String (25.33%)","Fang Prime (25.33%)","Burston Prime Receiver (25.33%)","Pangolin Prime Blade (11.0%)","Wukong Prime Systems (11.0%)","Atlas Prime Neuroptics (2.0%)","Axi","A11","Intact","Zhuge Prime String","Fang Prime","Burston Prime Receiver","Pangolin Prime Blade","Wukong Prime Systems","Atlas Prime Neuroptics","25.33","25.33","25.33","11.0","11.0","2.0"
"Axi A11 Relic (Exceptional) ","Zhuge Prime String (23.33%)","Fang Prime (23.33%)","Burston Prime Receiver (23.33%)","Pangolin Prime Blade (13.0%)","Wukong Prime Systems (13.0%)","Atlas Prime Neuroptics (4.0%)","Axi","A11","Exceptional","Zhuge Prime String","Fang Prime","Burston Prime Receiver","Pangolin Prime Blade","Wukong Prime Systems","Atlas Prime Neuroptics","23.33","23.33","23.33","13.0","13.0","4.0"
"Axi A11 Relic (Flawless) ","Zhuge Prime String (20.0%)","Fang Prime (20.0%)","Burston Prime Receiver (20.0%)","Pangolin Prime Blade (17.0%)","Wukong Prime Systems (17.0%)","Atlas Prime Neuroptics (6.0%)","Axi","A11","Flawless","Zhuge Prime String","Fang Prime","Burston Prime Receiver","Pangolin Prime Blade","Wukong Prime Systems","Atlas Prime Neuroptics","20.0","20.0","20.0","17.0","17.0","6.0"
"Axi A11 Relic (Radiant) ","Pangolin Prime Blade (20.0%)","Wukong Prime Systems (20.0%)","Zhuge Prime String (16.67%)","Fang Prime (16.67%)","Burston Prime Receiver (16.67%)","Atlas Prime Neuroptics (10.0%)","Axi","A11","Radiant","Pangolin Prime Blade","Wukong Prime Systems","Zhuge Prime String","Fang Prime","Burston Prime Receiver","Atlas Prime Neuroptics","20.0","20.0","16.67","16.67","16.67","10.0"
"Axi A12 Relic (Intact) ","Forma (25.33%)","Mirage Prime Chassis (25.33%)","Kogake Prime Boot (25.33%)","Helios Prime Systems (11.0%)","Banshee Prime (11.0%)","Akbolto Prime Receiver (2.0%)","Axi","A12","Intact","Forma","Mirage Prime Chassis","Kogake Prime Boot","Helios Prime Systems","Banshee Prime","Akbolto Prime Receiver","25.33","25.33","25.33","11.0","11.0","2.0"
"Axi A12 Relic (Exceptional) ","Forma (23.33%)","Mirage Prime Chassis (23.33%)","Kogake Prime Boot (23.33%)","Helios Prime Systems (13.0%)","Banshee Prime (13.0%)","Akbolto Prime Receiver (4.0%)","Axi","A12","Exceptional","Forma","Mirage Prime Chassis","Kogake Prime Boot","Helios Prime Systems","Banshee Prime","Akbolto Prime Receiver","23.33","23.33","23.33","13.0","13.0","4.0"
"Axi A12 Relic (Flawless) ","Forma (20.0%)","Mirage Prime Chassis (20.0%)","Kogake Prime Boot (20.0%)","Helios Prime Systems (17.0%)","Banshee Prime (17.0%)","Akbolto Prime Receiver (6.0%)","Axi","A12","Flawless","Forma","Mirage Prime Chassis","Kogake Prime Boot","Helios Prime Systems","Banshee Prime","Akbolto Prime Receiver","20.0","20.0","20.0","17.0","17.0","6.0"
"Axi A12 Relic (Radiant) ","Helios Prime Systems (20.0%)","Banshee Prime (20.0%)","Forma (16.67%)","Mirage Prime Chassis (16.67%)","Kogake Prime Boot (16.67%)","Akbolto Prime Receiver (10.0%)","Axi","A12","Radiant","Helios Prime Systems","Banshee Prime","Forma","Mirage Prime Chassis","Kogake Prime Boot","Akbolto Prime Receiver","20.0","20.0","16.67","16.67","16.67","10.0"
"Axi A13 Relic (Intact) ","Forma (25.33%)","Burston Prime Receiver (25.33%)","Inaros Prime Systems (25.33%)","Orthos Prime (11.0%)","Pangolin Prime Blade (11.0%)","Aksomati Prime Link (2.0%)","Axi","A13","Intact","Forma","Burston Prime Receiver","Inaros Prime Systems","Orthos Prime","Pangolin Prime Blade","Aksomati Prime Link","25.33","25.33","25.33","11.0","11.0","2.0"
